source,value,side,clip_delta
raw_net0,-4.621277809143066,below,0.6212778091430664
raw_net0,-5.29766845703125,below,1.29766845703125
raw_net0,9.496512413024902,above,5.527762413024902
raw_net0,-5.662154197692871,below,1.662154197692871
raw_net0,-7.82979679107666,below,3.82979679107666
raw_net0,-4.130586624145508,below,0.1305866241455078
raw_net0,-5.78891134262085,below,1.7889113426208496
raw_net0,-5.368251800537109,below,1.3682518005371094
raw_net0,12.038338661193848,above,8.069588661193848
raw_net0,4.311153411865234,above,0.3424034118652344
raw_net0,-4.882218837738037,below,0.8822188377380371
raw_net0,-4.216785907745361,below,0.21678590774536133
raw_net0,-5.428006649017334,below,1.428006649017334
raw_net0,4.221400737762451,above,0.25265073776245117
raw_net0,4.191457271575928,above,0.22270727157592773
raw_net0,10.893743515014648,above,6.924993515014648
raw_net0,-4.701144218444824,below,0.7011442184448242
raw_net0,4.5516204833984375,above,0.5828704833984375
raw_net0,5.31210994720459,above,1.3433599472045898
raw_net0,4.340729236602783,above,0.3719792366027832
raw_net0,-5.913527965545654,below,1.9135279655456543
raw_net0,-4.305371284484863,below,0.3053712844848633
raw_net0,-7.413880825042725,below,3.4138808250427246
raw_net0,4.285796165466309,above,0.3170461654663086
raw_net0,12.137433052062988,above,8.168683052062988
raw_net0,-4.4200334548950195,below,0.42003345489501953
raw_net0,-8.714136123657227,below,4.714136123657227
raw_net0,8.217371940612793,above,4.248621940612793
raw_net0,-17.189542770385742,below,13.189542770385742
raw_net0,-5.484439373016357,below,1.4844393730163574
raw_net0,-6.516031265258789,below,2.516031265258789
raw_net0,-4.028885364532471,below,0.028885364532470703
raw_net0,6.716996669769287,above,2.748246669769287
raw_net0,4.9068803787231445,above,0.9381303787231445
raw_net0,-4.753917694091797,below,0.7539176940917969
raw_net0,-9.576831817626953,below,5.576831817626953
raw_net0,7.849491596221924,above,3.880741596221924
raw_net0,5.283161640167236,above,1.3144116401672363
raw_net0,5.406054496765137,above,1.4373044967651367
raw_net0,11.835541725158691,above,7.866791725158691
raw_net0,-9.802806854248047,below,5.802806854248047
raw_net0,-6.532280921936035,below,2.532280921936035
